name,country,city.pop,mean.range,mean.rain,mean.hum,mean.mean,cum.cases,max.b,avg.b,local.trans,mean.mean.sq
Ecuador-Azuay,Ecuador,13.31012014,12.03174603,2.226531255,61.20634921,16.15873016,3.000000001,0,0,0,261.1045603
Mexico-Aguascalientes,Mexico,13.6844789,17.1547619,2.353894229,43.27380952,18.80208333,4.00000001,0,0,0,353.5183377
Mexico-Baja_California,Mexico,14.31116366,9.242288961,-2.53649229,35.58766234,22.2219697,4.00000001,0,0,0,493.8159372
Mexico-Baja_California_Sur,Mexico,12.56957275,11.53720238,0.030289966,53.53869048,25.15922619,16.00000001,1.00E-10,5.21E-12,0,632.9866625
Mexico-Campeche,Mexico,12.55329051,11.64583333,3.069072513,76.41964286,27.85267857,37.00000001,7.000217801,0.187504456,1,775.7717036
Mexico-Chiapas,Mexico,13.30253262,12.88392857,3.088716039,65.24404762,26.23958333,115,23.00037909,0.690112373,1,688.5157335
Mexico-Coahuila_de_Zaragoza,Mexico,13.60174415,13.1875,2.056298896,47.5297619,24.01240079,35.00000001,21.00008266,0.218750861,1,576.5953919
Mexico-Colima,Mexico,12.12562694,14.01041667,2.071470172,61.7514881,26.63541667,25.00000001,4.000009476,0.072916878,1,709.445421
Mexico-Durango,Mexico,13.24511184,16.51766513,2.324875387,44.67261905,20.80803571,1.00000001,0,0,0,432.9743503
Mexico-Jalisco,Mexico,14.19404836,13.63334169,2.429352815,52.88218126,21.78764411,55.00000001,4.00002665,0.114584147,1,474.7014359
Mexico-Mexico,Mexico,14.37054444,15.18167702,4.042287066,67.07291667,13.94791667,15.00000001,0,0,0,194.5443793
Mexico-Michoacan_de_Ocampo,Mexico,13.57315361,10.81994048,-3.25,65.80208333,19.01190476,29.00000001,1.50000656,0.036458544,1,361.4525227
Mexico-Morelos,Mexico,12.81126528,12.95089286,2.758718444,45.5610119,21.84077381,50.00000001,4.500011759,0.229167328,1,477.0194006
Mexico-Nayarit,Mexico,12.93267394,13.99553571,3.042531996,68.54166667,23.26190476,92.00000001,9.000041673,0.610245175,1,541.1162132
Mexico-Nuevo_Leon,Mexico,13.91912345,12.31886712,2.620269683,71.71416171,22.49215168,95.00000001,16.00004537,0.750008089,1,505.896887
Mexico-Oaxaca,Mexico,12.48465469,16.71577381,2.62173731,57.25595238,21.47916667,45.00000001,2.000010505,0.020833443,1,461.3546007
Mexico-Puebla,Mexico,14.27056488,16.77784853,1.529981311,67.59057971,14.63085749,64.00000001,10.00019475,0.239586994,1,214.0619908
Mexico-Queretaro_de_Arteaga,Mexico,13.37249933,15.39583333,2.644557299,58.29910714,19.10863095,9.00000001,0,0,0,365.1397769
Mexico-Quintana_Roo,Mexico,13.5192935,6.584821429,2.81459272,81.11160714,26.18005952,53.00000001,10.00007813,0.348960315,1,685.3955167
Mexico-San_Luis_Potosi,Mexico,13.62220368,16.6547619,2.51322777,54.10119048,18.18303571,51.00000001,4.000027234,0.215278869,1,330.6227878
Mexico-Sinaloa,Mexico,13.715983,13.98334012,1.958263005,71.35799756,26.11650387,39.00000001,9.000132461,0.135418598,1,682.0717742
Mexico-Sonora,Mexico,13.69252112,17.15178571,2.286055822,40.08482143,25.37797619,25.00000001,2.000014652,0.020833486,1,644.0416755
Mexico-Tabasco,Mexico,13.43695073,9.325892857,3.221830933,79.14434524,26.52529762,71.00000001,9.000099345,0.390629155,1,703.5914138
Mexico-Tamaulipas,Mexico,13.37886743,14.21875,2.50608048,61.72767857,24.46577381,56.00000001,8.000067424,0.322920878,1,598.5740881
Mexico-Veracruz_de_Ignacio_de_la_Llave,Mexico,13.32115522,8.06547619,2.716967203,77.20089286,25.65922619,102,25.00022805,0.760427237,1,658.3958887
Mexico-Yucatan,Mexico,13.70162828,6.683035714,-3.25,63.17113095,28.8234127,61.00000001,6.000027554,0.218752198,1,830.7891196
Mexico-Zacatecas,Mexico,12.3495884,16.05965463,-3.25,44.84821429,15.8422619,1.00000001,0,0,0,250.9772623
Guatemala-Zacapa,Guatemala,10.31015194,11.51567944,-3.25,57.1358885,28.79790941,261,27.00718396,3.636371914,1,829.3195863
Guatemala-Suchitepequez,Guatemala,10.60363517,10.94425087,3.010764745,63.95470383,27.81533101,144.5,34.00169366,1.683051183,1,773.6926392
Guatemala-Izabal,Guatemala,10.79098779,8.639097744,3.224097982,85.17293233,26.5,61,7.000449708,0.921110677,1,702.25
Guatemala-Quetzaltenango,Guatemala,11.69937184,9.660898001,3.858393924,86.31084656,22.70381393,317,58.00722954,4.211401148,1,515.4631671
Guatemala-El_Progreso,Guatemala,9.541871852,12.32395382,1.94765559,63.63636364,28.31409331,74,16.00176558,1.694811206,1,801.6878802
Guatemala-Escuintla,Guatemala,11.36995538,13.83972125,3.267182474,74.93379791,26.52961672,154,18.00269216,3.132047077,1,703.8205636
Guatemala-Chiquimula,Guatemala,10.53481252,9.519163763,-3.25,69.70731707,23.1358885,377,44.03441015,8.613433009,1,535.2693368
Guatemala-Alta_Verapaz,Guatemala,10.76219154,10.53759398,0.877587324,75.83082707,20.18421053,43,7.00019475,0.184215651,1,407.4023546
Guatemala-Santa_Rosa,Guatemala,10.08934452,11.03129252,1.851877956,75.57936508,19.75396825,395,69.03481505,8.337357993,1,390.2192618
Guatemala-Retalhuleu,Guatemala,10.44290063,6.391428571,4.158519037,82.61428571,21.34619048,82,8.001435129,0.828696538,1,455.6598478
Guatemala-Huehuetenango,Guatemala,10.95586391,17.97619048,3.273296533,55.9047619,18.78571429,47,2.000069549,0.277784475,1,352.9030612
Guatemala-Sacatepequez,Guatemala,10.38028058,10.69119769,1.885576644,75.55042017,19.94957983,37,6.000514477,0.661806443,1,397.9857355
Guatemala-Jutiapa,Guatemala,10.24352486,9.519163763,-3.25,69.70731707,23.1358885,112,14.00209073,1.927044217,1,535.2693368
Guatemala-Jalapa,Guatemala,10.57900524,12.40422078,1.965604753,63.6525974,28.36694324,130,25.00123159,2.395119721,1,804.6834689
Guatemala-San_Marcos,Guatemala,10.36668683,13.17528195,2.600020278,67.55294486,19.20164996,71,31.00032421,1.500035138,1,368.7033611
Guatemala-Baja_Verapaz,Guatemala,9.802561634,12.75396825,3.388243819,87.83482143,16.79662698,69,12.00222698,0.843854589,1,282.126678
Guatemala-Solola,Guatemala,10.31410603,15.52206349,2.699846927,79.82190476,16.26566138,10,0,0,0,264.57174
Guatemala-Chimaltenango,Guatemala,11.04957168,10.59637188,2.06311408,75.78231293,20.8707483,14,0,0,0,435.5881346
